Event Name,Description,Theme
Lover Letters And Poems Writing,descriptionjoin barrett sustainability club write love letters special seed paper learn importance selfcare love,Art & Music
Hop into Spring!,descriptionjoin us spring kickoff event plant flowers decorate pots,Art & Music
Anime Tierlist,descriptionit valentines better way appreciate valentines rating beloved anime waifus husbandos members believe rated taste would appreciate submit use link enter name pixelated character wish real hope see,Art & Music
Farce Side Comedy Hour Show,description brought historic club asu studentproduced hour sketch comedy sure dying laughter new themes every week dedicated social media presence farce side comedy hour delivering laughs since,Art & Music
Barren Mind Improv Show,descriptiona free studentled run weekly improv comedy show sun devils asus barren mind improv comedians get audience suggestions perform scenes spot completely unscripted barren mind starts pm right farce side comedy hours sketch show bring friend enjoy night laughter brought asus official comedy club,Art & Music
Changemaker After Dark: Intergalactic Disco,descriptionlooking world experience ready boogie night away come show dance moves explore creative side sing heart groovy night visit changemaker central tempe campus dark event friday february th pm first floor mu,Art & Music
Taylor Place Tunes,descriptionjoin ca kayla c taylor place residents making collaborative playlist sharing music taste masks required worn event social distancing encouraged,Art & Music
Paint along with Bob Ross,descriptionjoin relaxing paint night following tutorial one bob ross skills required happy little accidents welcomed,Art & Music
BSU Painting,descriptionwe listening music painting trying recreate art famous black artists also create,Art & Music
Playlist Making,descriptioncome make floor playlist,Art & Music
Open Mic Night!,descriptioncome join changemaker central asu night performance arts everything showcase talents grab refreshment seat audience support artists asu community stage,Art & Music
Barren Mind Rehearsal,descriptionbarren mind choose improv games play place show order rehearse show learn mechanics games show,Art & Music
Collage & Button Workshop,descriptionplease join us afternoon collaging buttonmaking provide materials necessary create collage turn pin take home limited supplies sure rsvp,Art & Music
BHCC Town Hall,descriptionselfmade selflove create vision highest self us making vision boards positive affirmation cards writing letters future selves,Art & Music
Black Arts & Culture Fair,descriptionthis event celebration past present artists black african heritage well showcasing art also food drinks customized merchandise items used incentives residents engage event items increase affinity asu commemorate time spent event memories created engaging sun devil community,Art & Music
Info Session + Discussion: the NFT Art Market,descriptionthe notion art changing blockchain technology brought us nfts broadened boundaries considered art join us discussion rapidly growing digital art market explore challenges opportunities presented technology behind nft art look numerous social environmental risks associated emerging digital art forms well potential impact contemporary experience arts guest speakers realm dropparty provide insights role innovation plays global art market february th thursday pm changemaker central st floor memorial union tempe join us zoom organized change world art team partnership changemaker central blockchain note asus health safety guidelines followed entirety event providing masks sanitizers use needed recommended attendees negative covid test prior attending event actively consuming food beverages attendees asked outdoor area keep distance feet apart,Art & Music
Movie Night with CA Taylor,descriptionjoin ca taylor floor lounge watch movie midterms,Art & Music
"""sip""-n-paint",descriptioncome enjoy crackers apple juice capri sons variety string cheeses follow painting tutorials beautiful bob ross tooker ca makylah,Art & Music
Innovative Painting Night,descriptioncome join changemaker central teach different innovative ways paint set right next changemaker space grassy area invite bring friends come participate creative relaxing event able take home painting well refreshments merch,Art & Music
Graduate Project Presentations,descriptionthe event annual celebration dance graduate students school music dance theatre,Art & Music
Polymetric at the MIM,descriptionjoin us go explore musical instrument museum explore history music try hand variety different instruments limited number free tickets available students want join us information need ride come weekly meeting wellness suite fridays get touch instagram,Art & Music
Mardi Gras Masquerade,descriptioncelebrate mardi gras embrace traditions day prepackaged king cake maskmaking station music karaoke celebrate good time fellow residents,Art & Music
AFA Tabling Event,descriptionwant learn afa stop talk members officer team ask us questions might,Art & Music
Clover Decorating,descriptionjoin us paint decorate wooden clovers honor st patricks day,Art & Music
The Batman' Movie Night!,descriptionresidents taken amc arizona center watch batman films premiere night,Art & Music
Canvas Painting,descriptionjoin ca julia san pablo express creativity canvas painting event great way build community expressing creativity,Art & Music
Tote Bag Paint Night,descriptioncome join cas palo verde west learn sustainable practices create tote bags order cut plastic bag waste,Art & Music
Manzy Art Museum,descriptionenjoy night painting peers masterpiece complete may take home put display bulletin boards floormates enjoy painting supplies provided,Art & Music
Outdoor Spring Concert,descriptionreggae group christifari turn campus music evangelism inspire minister asu tempe campus,Art & Music
Devil's Inkwell General Meeting,descriptionthis general meeting members devils inkwell include brief learning presentation dedicated workshop time writers meeting open nonmembers interested club events,Art & Music
Zen Devils Student Group Plant Pot Painting Party,descriptionzen devils student group hosting pant pot painting party join us night painting pots planting expect around people show purpose event encourage sustainability within american zen buddhism importance connecting nature,Art & Music
Country Line Dancing,descriptionjoin us night line dancing hosted asus line dancing club,Art & Music
Week-Long Green Sand Workshop and Public Talk: Guest Artist John Galt,descriptionthe week following spring break march th th professor john galt skidmore college offering public talk severalday workshop green sand molding focus fine art casting green sand reusable material also teach students sustainability moldmaking throughout week work students make molds ultimately produce casting several also offer studio visits anyone seeking input incredibly skilled artist host public talk monday march th pm pm art go green sand molding time talk go timeline workshop studio visits john galt expert green sand molding information john galt work check link face masks required strongly recommended negative covid test prior attending event,Art & Music
Coloring for Gold: St. Patties Day Coloring Event,descriptionhosted event floor patio offers residents opportunity showcase inner creative side st patricks day coloring event,Art & Music
Disabilities in Film Q+A with Jenni Gold,descriptionjoin dga director jenni gold actor mark povinelli head kmr diversity agent gail williamson special qa discussion featurelength documentary cinemability art inclusion,Art & Music
Latin Dance Night,descriptionthis fundraising event different organizations able participate dance night away,Art & Music
Marked Exhibition Opening,descriptionmarked art exhibition explores contemporary drawing shared visual language expression quite possibly frequent pursuits artists marked displays wide range approaches drawing pencil paper digital animation performative sculptural actions elicit embodied practice drawing showcasing local artists varied cultural backgrounds experiences exhibition exemplifies drawing simultaneously broad specific holding space artists redefine drawing based chosen context event located grant street studios step gallery rooted downtown phoenix warehouse district exhibition facilitated organized graduate students professor heidi hogdens drawing expanded field seminar supported drawing club student association grabandgo food refreshments offered opening masks social distancing required negative covid test highly recommended free event payment required attend,Art & Music
Devil Clefs A Cappella Spring Concert!,descriptionjoin us friday march th pm fusion first asu downtown phoenix campus spring concert devil clefs cappella showcase favorite songs old new bring friends ready delicious light appetizers exciting night full music secret waiting unraveled follow instagram info way mention free food postinos,Art & Music
ASU Art Museum,descriptioncome check art museum tempe campus meet tooker house lobby pm saturday march returning around pm,Art & Music
Night of Narratives Spring 2022,description rise strives encourage refugee students appreciate take pride culture build confidence need follow dreams night narratives aims showcasing personal stories talents rise students spoken word music dance art approximately students present work students art pieces displayed around room anyone everyone invited come listen eyeopening stories beautiful works rise students create opportunity come together community show support students asu students unique chance gain insight refugee experience become inspired reach night narratives celebrate resilience refugees shared humanity unites us,Art & Music
Godspell - Student Lab Production,descriptiongodspell student production mar pm mar pm evelyn smith music theatre conceived originally directed johnmichael tebelak music new lyrics stephen schwartz originally produced new york stage edgar lansbury stewart duncan joseph beruh directed wesley bradstreet music direction mario yniguez joyous celebration community godspell follows group people help jesus christ tell different parables using wide variety games storytelling techniques hefty dose comic timing eclectic blend songs ranging style country linedance vaudeville employed story jesus life dances across stage dissolving hauntingly last supper crucifixion jesus messages kindness tolerance love come vibrantly life content warning suitable audiences age,Art & Music
Solis Diaboli Symposium,descriptionan art show put together students students student works inspired classical antiquity general mythologies types art writing visual way welcome deadline submit work march th midnight link event inperson march nd welcome stop check,Art & Music
"Turning the Page: Artists Books, Zines, Language and Art",descriptionenjoy fascinating exhibition student zines artists books prints created asu expressive mediums long treasured tradition campus curated classes student clubs exhibition showcases creativity skill many different points view opening reception wednesday march pm pm open may,Art & Music
Disney Day,descriptionjoin us disney movie crafts,Art & Music
Paint Night,descriptioncome relax paint canvases friends paints canvases provided,Art & Music
Paint Party,descriptionbeta pi hosting painting session public come enjoy art music note limited space event must rsvp attend,Art & Music
WHEN ALIENS FALL FROM THE SKY,descriptioninspired stylings spalding gray aliens fall sky compilation stories poems real citizens across continental united states puerto rico collected shared people documented undocumented journeys reveal vast colorful canvas experiences small cities big towns america lemon likes call bone marrow nation lemon weaves rhymes speaks harsh witty truth complex characters intention shine spotlight identity crisis america student tickets wwwasugammagecomshowseventswhenaliensfallsky,Art & Music
Devilpalooza 2022,descriptiondevilpalooza asus largest studentled music festival taking place sun devil fitness complex fields tempe campus mark calendars march th pm pm devilpalooza featuring chase atlantic tons fun activations food enjoy ready show sun devil sync event pass entrance event policies clear bags policy water bottles unless sealed pm entry becomes firstcomefirstserve matter rsvpd vip ambassador parking available apache lot apache blvd normal ave enjoy virtual experience linksasueduengage asu student access,Art & Music
"Arizona Women's Collaborative- Fourth Annual Concert ""Light Persists""",descriptionlight persists evening newly created vocal instrumental dance works exploring celebrating human urge find light dark times concert feature composers writers singers instrumentalists dancers either students alumnae asu creatives phoenix community arizona womens collaborative new works initiative intended collaboration allfemale nonbinary identifying creatives please join us festival song dance,Art & Music
Happy Painting--- Painting with Bob Ross,descriptionrelax destress come paint bob ross remember mistakes happy accidents,Art & Music
PowerPoint Night!,descriptionon march residents taylor place able practice design arts speaking skills presenting powerpoint presentation peers full creative ability powerpoint presentation allowed expressive artistic possible way present powerpoint nights known humorous creative great outlet individuals express artistically,Art & Music
Motta Maadi Music,descriptiona group karaoke night except chorus singing beat one hour straight sing dance fun great opportunity lose stress middle semester also help make lot connections last years come end event favorite indian food,Art & Music
Tie Dye with CA Taylor,descriptionjoin ca taylor space floor ts requested event supplies provided,Art & Music
"Paint Therapy with Caitlin Gullette BS, CLC- Therapeutic Art",descriptionever wonder art soothe soul learn quiet mind indulge something creatively delicious sip lattes paint emotions canvas paint paint brushes provided students rsvp week prior event location pick items provided via email week prior event,Art & Music
Playlist Creating,descriptionjoin cas mattie raena super fun event work creating new playlists expanding old playlists creating folders cool features apps like spotify apple music,Art & Music
Nailed It!,descriptionhave ever watched netflix tv show nailed well treat part zeta alphas swee week hosting nailed art edition join us march th wind replicate famous painting black arts movement forget bring negative covid test mask skee,Art & Music
Pop Up Art Event,descriptioncome join people paint brushes painting event event music food trucks vintage shops course free painting bring anyone choose join us pm thursday,Art & Music
Taylor Swift Listening Party,descriptionour event tooker house courtyard opportunity people socialize relax listening taylor swifts announced albumtaylors version free food free taylor swift bluetooth speakers tons fun,Art & Music
8th Annual Sketch Crawl,descriptionthis th annual sketch crawl organized student asla organization professional chapter azasla faculty landscape architecture program asu past events brought nationally recognized urban sketchers asu campus give free public lecture meet students lead sketch crawl april world landscape architecture month asu sketch crawl important way celebrate raise visibility landscape architecture program asu,Art & Music
2022 Desert Symposium Iron Pour,descriptionsince fahrenheit annually hosted asu desert iron symposium currently celebrating years every fall spring club members collaborate southwest regional college students local industry community pour thousands pounds molten iron tenfoottall batch melter cupola hundred handmade sculptural molds furnace produces lb batches molten iron every minutes additionally one nations largest university foundry programs goal asu herberger institute design arts intercollegiate desert iron symposium immediate benefit recruitment talented undergraduate graduate students furthering asus standing educational artistic community year desert symposium iron pour april nd pm past desert iron symposium statistics registered asu sculpture student members southwest regional college students local area industry participants community participants guest artists spectators fahrenheit efforts generate funding donations local area businesses foundries ie intel arizona bronze arizona castings asm international ball consulting camelback plumbing elecmetal porter warner industries refrac systems refractory insulation supply symposium registration fees tshirt sales scratch mold sales fahrenheit services students technological support american foundry society exhibitions demonstrations foundry skills foundry safety metal pours preparation desert symposium iron pour april nd professoremeritus george beasley georgia state university sculptor tamsie ringler university wisconsin visiting asu beasley known work historical primitive furnaces well marking landscape sculpturally ringler known works like casting mississippi river system art land march th host public lectures pm also participating pour face masks required strongly recommend negative covid test attendance,Art & Music
WHAT PROBLEM?,descriptionbill jonesarnie zane companys latest work problem provokes tension belonging community feelings isolation many feel divisive political times adapted proscenium stages massive work deep blue sea jones conceived highly personal work pursuit elusive including cast local community members deconstructed text dr martin luther king jrs dream speech herman melvilles moby dick jones company develop individual content local community members touring locations making performance specific host city work examines condition loneliness individual experienced alone within community explores need community notion collective redemption student tickets wwwasugammagecomshowseventswhatproblem,Art & Music
Egg Hunt!,descriptionannual egg hunt santan free candy participants prizes winners,Art & Music
Apache Leap' film screening,descriptionjoin us come watch film apache leap film created start finish indigenous people screen film discussion film makers film unique opportunity support learn indigenous film makers experiences,Art & Music
SOA Club Reregistration!,descriptionsoa club officers please join melissa button caroline schmidt school art reregistration party clubs required annually reregister sundevilsync reregistration period april april regardless club established check reregistration list joining us event bring laptop ask questions process eat pizza details thursday april th pm wong studio rm art bldg faculty members also welcome attend rsvp please rsvp monday april,Art & Music
Get Jiggy Wit It,descriptionget ready groove get jiggy come learn classic hip hop choreo destress fun movements,Art & Music
Herberger Institute Drag Show,descriptionjoin us annual drag show featuring student performers special acts let us celebrate love community pride rsvp required rsvp want stay date event details receive reminder drag show day event questions email brett stachler bstachleredu,Art & Music
Free Professional Headshots,descriptionto help give back sun devil community talented photographers want utilize skills offer free headshots students staff,Art & Music
A Conversation With The Funky Latina,descriptionattendees entered giveaway win pair tickets night paz love funk azs first indie latin music festival crescent ballroom april funky latina swag bag includes stickers keychains buttons funky valentines paletas available elyssa bustamante aka funky latina music blogger event producer based phoenix also ceo funky latina productions company devoted increasing latinx representation music industry elyssa produced private largescale events various clients corporate nonprofit educational political sector spring april th launch arizonas first latin indie music festival night paz love funk crescent ballroom phoenix written remezcla curated playlists buchanans currently hosts live ig talk show let us hear elyssa featured arizona republic latino influencer follow attending arizona state university completed ba chicanoa studies founding member sigma lambda gamma pi delta chapter historically latina based sorority multicultural membership mission spread paz love funk,Art & Music
ASU Special Collections Tour,descriptionasu special collections curator julie tanaka kindly offered host abba club event open friday april pm pm wurzburger reading room hayden library rm check collections able view handle limitededition handmade books plus national poetry month curators choice pull works,Art & Music
Barrett Choir 2022 Retreat,descriptionbrief meeting celebrate artistic accomplishments students academic year food served thank worked hard make performances possible,Art & Music
Style Line Magazine Spring 2022 Fashion Show,descriptionstyle line magazine proud present first ever spring fashion show style line magazine student run magazine started fall mission promote student work well provide valuable experience order student members portfolios knowledge asu fashion programs official studentrun magazine happy participate promoting work members proud announce showcasing four arizona state university style line magazine students also happy announce hosting reception start event attendees opportunity meet network industry professionals including influencers stylists ceos business owners designers collections showcase works curated designed students pleased host event fabric tempe pm mst saturday april th cannot attend inperson worries event livestreamed virtually,Art & Music
Kappa Delta Chi's Latin Night,descriptioncome one come april th plan latin night event students asu mingle dance night away student pavilion event bachata slasa cumbia banda music played night sisters kappa delta chi extremely excited eager plan event help,Art & Music
Lecture + Q&A with Stop Motion Animator Josephine Merida,descriptionjoin women animation welcome artist josephine ortiz merida josephine puppet fabricator stop motion animator works durham north carolina silicone foam caster standing figure llc extensive experience working stop motion animation worked music videos short films netflix productions josephine arizona state university alumnus majored intermedia art concentration stop motion animation minor film media production winner multiple awards including creative constellation grant work displayed many galleries across valley josephine discussing journey animator well sharing projects featured large productions lecturing answering student questions april th pm az time via zoom zoom,Art & Music
"The Undertones ""Head In The Clouds"" Spring Concert",descriptionasus first jazz cappella groupthe undertoneswill put special performance musical pieces rehearsed course spring semester also spotlights members sing solo numbers event free open whoever wants hear jazz music,Art & Music
AT WAR WITH OURSELVES,descriptionthe ravishing wondrous innermost black islands never sunk matter number cannon balls sent sink nikky finney war years created two countrys esteemed artists composer michael abels poet nikky finney brought life legendary ensemble contemporary classical music kronos quartet war years eveninglength oratorio explores race relations social justice civil rights finneys evocative poetry directly inspired abels music written th anniversary african presence america intimate emotionallycharged text turns bold seductive always deeply personal flits throughout history allusions slave ships harriet tubman black astronomer benjamin banneker olympians tommie smith john carlos finneys words work addressed black white enslaved free bystander nonbystander war us one human battlefield student tickets wwwasugammagecomshowseventswarourselvesyearsyou,Art & Music
Grad Cap Decoration,descriptionopen asu students join fellow graduates decorate cap graduation food drinks craft supplies provided,Art & Music
Sweetheart Concert,descriptionwe holding meet greet potential new sweethearts band made members fraternity perform set list songs event glv lawn attendees buy ticket pizza deserts,Art & Music
Priority Forks Concert,descriptiona combined cappella concert featuring priority male pitchforks campus,Art & Music
The Artist as Writer: Brown Bag Workshop,descriptionplease join school art second installment brown bag artist workshop series series offers undergraduate graduate students opportunity learn practical applied topics strengthen impact artistic citizens grow artistic careers second installment revolves around translating artistic practice written word artist express sense aesthetics write experiences accomplishments discuss work frame achievements career materials cover letters caroline schmidt mfa writing discuss topics handson workshop bring questions laptop piece paper pen food beverage provided details friday april ampm wong studio rm art bldg rsvp please rsvp friday april,Art & Music
TEMPEtations Spring 2022 Concert,descriptionthe tempetations premier coed acapella group tempe campus spring concert debut songs arranged worked twice week throughout spring semester along icca quarterfinals set participate annual icca competitions placed first third regional quarterfinals songs plan preforming range mashups todays top hits well classics done acapella instruments pure talent baby,Art & Music
Polymetric: Music Man at the Hale Theater,descriptionwere going watch musical music man hale theater april pm limited number free tickets students available make sure rsvp today come weekly meeting wellness suite get touch instagram information,Art & Music
International Student Picnic & Games,descriptionupdate reached capacity rsvps however welcome without rsvp food priority registered follow us ig updates excellent opportunity grad students build strengthen international student community event graduate students international students domestic students want meet international students,Art & Music
Normal Noise Magazine S22 Self Issue Release Party,description join normal noise magazine release spring self issue excited invite experience evening poetry narrative readings food take home newest copy magazine ask attendees wear masks eventper university guidelines required social distancing possible hope see,Art & Music
Lux Vol.18 Release Party,descriptioncelebrate years contributors category winners editors help create luxs th publication,Art & Music
PMale Concert,descriptionpriority males semester solo concert,Art & Music
Poly Photo Club Spring 2022 Showcase,descriptioncome student union polytechnic campus check endofsemester showcase display beautiful photographs taken talented photographers,Art & Music
Tie Dye,descriptioncome tie dye tshirts rha,Art & Music
Architectural Exhibition- Spring '22,descriptionend year architectural exhibition show casing students work spring levels work freshman graduate students presented open public student body local professionals asu faculty,Art & Music
"School of Music, Dance and Theatre Graduate Welcome 2022",descriptionwelcome asu incoming school music dance theatre graduate student get meet faculty new students participate fun activities learn important policies procedures lead success time asu event devoted providing necessary information specific degree include breakout sessions area,Art & Music
The School of Art Graduate Welcome & Orientation,descriptionplease join us school art graduate welcome orientation event highly recommended incoming graduate students master art master fine art programs get meet graduate leadership support staff review valuable resources tour school art answer questions look forward seeing,Art & Music
"School of Music, Dance and Theatre TA Training 2022",descriptionwelcome new teaching assistants school music dance theatre session provide substantial amount important information use new appointment information specific area music dance theatre ta training take place immediately school music dance theatre graduate welcome hope see,Art & Music
"School of Music, Dance and Theatre Undergraduate Welcome 2022",descriptionwelcome asu incoming school music dance theatre undergraduate student get meet faculty new students participate fun activities learn important policies procedures lead success time asu event devoted providing necessary information specific degree,Art & Music
ASU School of Art Undergraduate Fall Welcome 2022,descriptionwelcome school art glad please join us undergraduate fall welcome orientation include director presentation lattie coor optional selfguided tour art building art warehouse spaces event highly recommended incoming undergraduate students addition providing information school art departments also offer details resources services ways connect community answer questions may swag snacks provided space may limited please rsvp guarantee spot looking forward seeing,Art & Music
Infernofest 2022,descriptionjoin us asus signature fall concert infernofest featuring wallows tuesday august live sun devil stadium free asu students enter sw gate must asu id card experience concert virtually linksasueduengage requires login students gates open pm clear bags empty clear water bottles permitted inside follow information,Art & Music
Entertainment Business Association Weekly General Member Meeting Fall 2022-2023,descriptionthe entertainment business association eba student organization asu dedicated building diverse community young professionals passionate business side entertainment industry members develop business skills explore careers industry eba provides valuable inclusive experiences professional workshops industry experiences guest speakers build successful community within asu industry eba hosts regular weekly meetings thursdays pm bring speakers various parts entertainment industry share career path knowledge industry offer advice members eager join entertainment industry speakers arrive either inperson zoom additionally eba hosts workshops socials events prepare members entertainment industry allow network fellow members engage eba overall,Art & Music
COMEDY CLUB AUDITIONS,descriptionwant try hand goodoldfashioned stage comedy come visit us monday august ndtuesday august rd auditions new comedy team offering biweekly shows chance fun hopefully funny writing performing travelling interested please direct message instagram account auditions held barring location interference education lecture hall pm ndrd august come relaxed ready try new stuff even never done anything comedic,Art & Music
Tie Dye Kick Off Event 2022,descriptionjoin msa ssv lawn make tie dye shirt,Art & Music
Devils Do Art @ the Secret Garden,descriptioncome craft troubles away every week creative art session week craft changes chance destress meet new people materials provided join us relaxing time secret garden register online save spot,Art & Music
Farce Side Comedy Hour and Barren Mind Improv Auditions,descriptionlongtime comedy clubs asu farce side comedy hour barren mind improv holding semester auditions experience required come try sketchimprov comedy fun lowstakes environment might even earn spot troupe auditions troupes sketch improv stations rotate groups also information provided standup comedy opportunities asu well comedic film sibling club take comedy,Art & Music
Scriptless: First Club Meeting,descriptioncome join scriptless first ever meeting well introduce asus newest film club get know,Art & Music
The City of Poets Meeting,descriptionhi everyone first meeting semester make sure come around check us variety fun activities ice breakers pass around stories also time allotted sharing take moment express whatever medium suits know expected share want cannot wait meet,Art & Music
Vision Boards,descriptioncome tooker b low study lounge decorate clipboards inspires motivates fall semester,Art & Music
The Devil's Inkwell General Meeting,descriptionjoin devils inkwell discussion learning opportunities involving creative writing,Art & Music
The Undertones General Monday Rehearsals,descriptionundertones members meet twice week practice songs discuss club events hang group,Art & Music
Monday Movie Night,descriptionneed plans start week want spend time friends see hottest new movies join pab biweekly monday movie night monday fall semester pab showing different movies grab friends popcorn,Art & Music
The Undertones General Wednesday Rehearsals,descriptionundertones members meet twice week practice songs discuss club events hang group,Art & Music
Cyanotype Workshop,descriptionplease join us firstever cyanotype workshop provide materials needed create cyanotype however encouraged bring materials create silhouettes within piece cyanotype ancient greek kuneos dark blue tpos mark impression type slowreacting photographic printing formulation sensitive limited nearultraviolet blue light spectrum need sunlight develop image produces cyanblue print used art monochrome imagery applicable range supports announced still use today information cyanotypes follow link cyanotype,Art & Music
Literary Explorations Club Meeting,descriptionliterary explorations club readers writers club meeting discuss various aspects literature craft writing subjects discussion activities largely membercentered chatting member preferences requested topics first meetings meetings follow schedule discussing specific topic pertaining writingliterature followed activity workshop correlates topic discussion example focus effective character creation one week following week would gather create characters utilizing information ideas discussed previous weeks meeting meetings every friday evening pmpm location tbd hope see,Art & Music
Scriptless Club Meeting,descriptioncome check scriptless second ever club meeting welcome film experience required club focuses documentary filmmaking reality television production meeting brainstorming film series idea create coming semester year,Art & Music
The City of Poets Meeting,descriptioncome join us city poets share creations andor inspirations work club projects discuss activities good time welcome everyone anyone biggest priority make welcoming environment creative minds would love,Art & Music
Maroon and Gold Entertainment General Meetings,description general meetings mge members experience workshops community building networking events work short film projects club join us every week hayden library meet people learn new things create amazing short films,Art & Music
Cube Devils Meeting 1: 9/7/2022,descriptionthe first weekly meeting spring semester introductions handing cubes talking plans semester,Art & Music
Drawing with Dean,descriptionthis recurring event week open studio figuredrawing workshop available students want develop figuredrawing skills regardless major school affiliation,Art & Music
Painting at Palo Verde Beach,descriptioncome paint peers peer mentors supplies music provided make awesome room decorations gifts,Art & Music
"Farce Side Comedy Hour, Barren Mind Improv, Standup Vs. The World, Take 100 Comedy Show",descriptiona longrunning tradition asu studentled studentrun completely free comedy show asu students faculty alumni general public farce side comedy uses mu stage pmpm closed dress rehearsal start hour sketch comedy show around pm end sketches take comedy premiere comedic short film barren mind improv starts hour long improv comedy show around followed open mic show hosted barren mind members pm,Art & Music
Sketchbooks and Coffee,descriptionjoin us doodle create new sketchbooks semester grab coffee meet wia soa clubs,Art & Music
TAG meeting (with Coffee and Donuts),descriptionjoin us coffee donuts conversation discuss tag related events plans,Art & Music
SoZo Coffee House Concert 09/17/2022,descriptionthe society composers inc asu feature original musical compositions performed asu students sozo coffee house chandler az goal encourage students participate composers club campus providing opportunities hear works performed different local scenes sozo coffee house regularly features local artists musicians stage excited participate community experience welcome attend night great coffee new music person interest composition encouraged reach sci regarding membership take advantage future opportunities,Art & Music
ARTfest 2022 Info Meeting for SOA Clubs,description please join us meet virtually discuss years artfest meeting intended soa clubs would like learn participating artfest questions funding want brainstorm activity ideas hope see,Art & Music
Cube Devils Weekly Meeting 3,descriptioncube devils weekly meeting members teach newcomers solve rubiks cube compete work together fast solves hang,Art & Music
Collage Night: Design in Latin America,descriptionjoin us collage night celebrating hispanic latinx heritage month following brief lecture professor jose bernardi impact latin american culture civilization design design collages using latin american motifs images take home collage framed display multicultural communities excellence space rest hispanic heritage month supplies snacks provided event intended asu community students faculty staff mirabella residents rsvp sponsored culture access dept herberger institute design arts multicultural communities excellence cultural connections design justice initiative el concilio,Art & Music
Scriptless Club Meeting,descriptioncome join us scriptless fourth weekly club meeting pitching documentary film series ideas forming crews make want miss important meeting get ready start productions semester,Art & Music
Bob Ross Paint Party,descriptioncome spend relaxing evening creating happy accidents oasis classic painter bob ross one stepbystep joy painting videos experience necessary slow video take time crafting beautiful landscape rsvp order reserve spot supplies provided register oasis campus ministry committed seeking healthy relationships god self others society oasis welcomes everyone wither religious background consider follower jesus,Art & Music
Jesse Valenzuela Storytelling Session | Meet & Greet,descriptionthe j orin edson entrepreneurship innovation institute herberger institute design arts popular music program delighted host founding member multiplatinum group gin blossoms jesse valenzuela fusion first asus downtown phoenix campus kick series events storytelling session jesse share journey local musician bestselling artist might recognize work cult favorite film empire records gin blossoms hit single till hear mainstay nineties establishing band right phoenix years ago going business solo musician jesse demonstrated entrepreneurial spirit multidecade career continuing impact strengthen industry sharing expertise next generation creative entrepreneurs visit blog full schedule events featuring jesse,Art & Music
Music Series,descriptionmusic series weekly event student performers showcase musical talents mu north stage pm pm,Art & Music
Jesse Valenzuela Listening | Feedback Session,descriptionthe j orin edson entrepreneurship innovation institute herberger institute design arts popular music program delighted host jesse valenzuela founding member multiplatinum group gin blossoms jesse participating full schedule events fusion first asus downtown phoenix campus sept nov excited jesse share expertise give feedback students interactive listening session fusion first current asu students apply receive feedback music,Art & Music
