event_name,datetime,description,host_org,event_perks,categories,location,event_weekend
ASU United Worship Gathering,2024-08-22 19:00:00,come together campus ministries arizona state night worship fellowship following event club fair christian campus ministries opportunity students find good campus ministry fit get plugged time college event hosted asu united encouragement students reach friends love hope jesus,intervarsity christian fellowship,,welcome event,neeb hall l neeb hall forest mall tempe,0
AZ Hugs,2024-10-06 15:00:00,support local tempe charity engage students hands service work,business school council,,,papago park adress n galvin pkwy phoenix,1
AZCALL 2024 Conference,2024-09-21 09:00:00,call club asu thrilled announce th annual azcall conference held arizona state university september st encourage proposals related research computer assisted language learning teaching particularly proposals well defined theoretical conceptual framework,host organizationt computerassisted language learning club arizona state university,,,asu memorial union east orange street tempe,1
Affording Medical School (Workshop Included),2024-10-09 17:30:00,attending medical school accessible economic statuses join mim learn different pathways finance medical school scholarships pathway programs federal aid loan repayment programs etc also discuss assistance programs pre health endeavors mcat fees application fees etc workshop stay afterwards help applying fee assistance program offered aamc applying together group guidance former recipient laptop device required planning apply please copies following documents w form tax return parents tax forms well,minorities medicine,food,career professional development clubs organization information civic engagement interfaith harmony week,memorial union graham room e orange st tempe,0
Agent/NIL Agent Panel,2024-10-10 18:00:00,students gain comprehensive understanding evolving landscape athlete representation name image likeness nil deals experienced agents also chance network industry professionals opening doors potential mentorship internships career opportunities sports agency management,sports business association,,,bac e lemon st tempe,0
Alumni Brunch,2024-11-23 10:00:00,brunch alumni,kappa delta,,,kd glvkd glv,1
Anime Avalon Fall 2024 Meeting 1,2024-09-06 18:00:00,first event fall semester club dedicated japanese anime like watching talking going conventions themes stop,anime avalon arizona state university,food,club meetings general sync,mu alumni lounge e orange st mu tempe,0
Anime Avalon Fall 2024 Meeting 2,2024-09-20 18:00:00,second event fall semester club dedicated japanese anime like watching talking going conventions themes stop,anime avalon arizona state university,food,club meetings general culture asu sync,mu yuma e orange st room tempe,0
Anime Avalon Fall 2024 Meeting 3,2024-09-27 18:00:00,third event fall semester club dedicated japanese anime like watching talking going conventions themes stop,anime avalon arizona state university,food,club meetings general culture asu sync,mu coconino e orange st mu tempe,0
Anime Avalon Fall 2024 Meeting 4,2024-10-11 18:00:00,first event fall semester club dedicated japanese anime like watching talking going conventions themes stop,anime avalon arizona state university,food,club meetings general culture asu sync,mu navajo e orange st tempe,0
Anime Avalon Fall 2024 Meeting 5,2024-10-18 18:00:00,fifth event fall semester club dedicated japanese anime like watching talking going conventions themes stop,anime avalon arizona state university,food,club meetings general culture asu sync,navajo e orange st mu tempe,0
Anime Avalon Fall 2024 Meeting 6,2024-11-01 18:00:00,sixth event fall semester club dedicated japanese anime like watching talking going conventions themes stop,anime avalon arizona state university,food,club meetings general sync,mu navajo e orange st mu tempe,0
Anime Avalon Fall 2024 Meeting 7,2024-11-15 18:00:00,seventh event fall semester club dedicated japanese anime like watching talking going conventions themes stop,anime avalon arizona state university,food,club meetings general sync,mu la p e orange st mu tempe,0
Anime Avalon Fall 2024 Meeting 8,2024-11-22 18:00:00,eight event fall semester club dedicated japanese anime like watching talking going conventions themes stop,anime avalon arizona state university,food,club meetings general sync,mu navajo e orange st mu tempe,0
"Are You Just Your Brain? The Brain, Mind, Soul Relationship",2024-09-19 12:30:00,join us free pizza several raffle prizes deep discussion led dr greger prof neural engineering human thought explained understanding brain physiology dr greger discuss limits scientific inquiry strictly materialistic worldview time dedicated open discussion friendly environment share doubts questions challenges alternative viewpoints,ratio christi tempe,food stuff,club meetings clubs organization information general welcome event inperson event,mu e orange street tempe,0
Aris Foundation Snack Packs,2024-09-24 16:00:00,support local tempe charity engage students hands service work,business school council,,,aris foundation adress w alameda dr tempe,0
Art After Dark,2024-08-17 19:30:00,come student union enjoy evening music crafts board games free food afterget ready entertained hynotist mentalist michael c anthony,polytechnic,food,student engagement event welcome event new student experience,student union,1
Astronomy Club at ASU - August Meeting,2024-08-30 20:00:00,friday august th pm come join astronomy club asu tempe campus psh zoom make friends learn space hands ways first meeting semester discussing origins astronomy night sky right host space related games observations telescopes roof weather permits free food first come first serve basis,astronomy club arizona state university,food,club meetings general sync inperson event,physical sciences center h wing bateman physical sciences center h wing h,0
BID DAY,2024-09-02 09:00:00,giving bids new pc,kappa delta,,,mullet arena octane racewaymullet arena octane raceway,0
BIG/LITTLE speed dating,2024-09-10 19:00:00,bigs littles going dates kd glv,kappa delta,,,kd glvkd glv,0
Barrett Bonanza - Welcome Event,2024-08-17 20:00:00,come join barrett cas one kind welcome event featuring outdoor games diy crafts speed friending,unknown,food stuff,,barrett great court,1
Bharathanatyam Beginnings - A Journey Through Dance,2024-09-09 18:30:00,get touch dance connect dancers part community basic steps end learn complicated sequence steps called jathis open students asu interested learn artform act refresher already dancing weekly event,lasya,food,,infinity studiosdfc tempe,0
Bibles & Coffee - The Well @ ASU,2024-08-18 08:30:00,join us hassayampa bike racks enjoy reading bibles together local craft cold brew pastries feel free either bring something already reading join something reading cannot find us calltext check events going,well,,,hassayampa bike racks mcallister ave tempe,1
Bid Day,2024-09-02 10:30:00,final day formal recruitment potential new members receive bids released activities chapter,unknown,,,mullet arena packard dr tempe,0
Bid Day,2024-09-02 12:00:00,alpha delta pi formal recruitment bid day,alpha delta pi sorority,,sync,glv rural road tempe,0
Bid Day Celebration,2024-09-02 09:00:00,celebration accepting new member class,pi beta phi sorority,,,legends event center,0
Big/little reveal,2024-10-04 16:00:00,bigs revealing selfs littles,kappa delta,,,kd glvkd glv,0
Blue Bag Sorting,2024-10-02 10:00:00,join asu zero waste celebrate campus sustainability month blue bag sort day service day service take place pm zero waste office day schedule volunteers arrive brief program background safety overview begin sorting impact takeaways debrief pm release transportation park lot pass pay lock bike northeast bike locker next university services building wearbring bring reusable water bottle wear closed toed shoes long sleeves sunscreen restrooms water refill stations available,zero waste,,community service sustainability inperson event,zero waste office jentilly lane tempe,0
Bollywood Night 2024,2024-08-29 18:15:00,open dance floor event students dance various bollywood indian songs,host organizations indian students association international student scholars center,,general international inperson event,senita ballroom e orange st tempe,0
Breadth of Healthcare and Medicine,2024-09-25 17:30:00,join speaker panel current medical student pa student veterinarian student learn diverse pathways medicine talking pathways medicine minorities diverse backgrounds opportunity ask questions learn connect incredible people light refreshments provided,minorities medicine,food,career professional development general,memorial union graham room e orange st tempe,0
Breath work and Yoga,2024-11-20 18:30:00,come join psychedelics club week seamster starts wind offering breath work yoga class specific methods breathing provide heightened awareness sometimes altered state conciseness accompanied relaxation clarity great way destress reset preparation end semester projects finals,host organizationt psychedelics club,,club meetings general welcome event sync inperson event new student experience,mu coconino,0
Business Ambassadors at W. P. Carey Informational Meeting,2024-09-04 17:00:00,join bizamb informational meeting learn business ambassadors w p carey meet current ambassadors receive information application process,business ambassadors w p carey,,wp carey event,ba,0
Business School Council General Meeting,2024-08-26 17:00:00,weekly general meeting hosted members business school council,business school council,,,business administration ba,0
CAB/council meetings,2024-09-08 14:00:00,meeting cab go upcoming months,kappa delta,,,glccglcc,1
Campus Ambassadors Volleyball Tournament,2024-08-21 18:30:00,join us annual volleyball tournament teams randomly grouped play v sand pits outside sdfc,host organizationc campus ambassadors p,,welcome event inperson event,sdfc volleyball pits tweet st mesa,0
Campus Tours - Where are my classes?,2024-08-21 10:00:00,want wait first day classes know classes located got covered bring class schedule loaded asu mobile app show classes located great places hang campus tours leave faculty administration building fab first floor lobby scheduled time event,host organizations new college interdisciplinary arts sciences west valley,,welcome event inperson event,faculty administration building fab st floor lobby n th ave phoenix,0
Challenge,2024-08-22 19:30:00,join us night community spiritual conversations hosting conversation faith followed games activities fellowship dinner provided anyone welcome,christian challenge downtown,food,club meetings welcome event sync inperson event,student center post office n central ave phoenix,0
Chapter,2024-08-25 18:00:00,brother phi kappa theta meet glcc discuss plans events upcoming week,phi kappa theta,,,tbd,1
Chapter Meeting,2024-08-26 19:30:00,discuss chapter business weekly basis,lambda theta nu sorority inc,,,glcc,0
Chapter Meeting,2024-09-16 19:30:00,discuss chapter business weekly basis,lambda theta nu sorority inc,,,downtown campus,0
Chat with SDGFC 💬,2024-08-12 12:00:00,join new networking initiative chat time sdgfc sdgfc whatsapp group chat time conducted biweekly totally via whatsapp chat topic chat announced day gathering time st hour chat time monday august pm az sdgfc fb sdgfc linkedin devils global friends club sdgfcviewasmembertrue sdgfc whatsapp sdgfc instagram sdgfc sync,sun devils global friends club,,,online,0
Chinese American Student Association General Meeting,2024-08-27 18:30:00,chinese american student association hosting general meeting intended foster community encourage fellowship chinese american identifying individuals asus campus,chinese american student association,,club meetings,hayden c,0
Choreography Workshop,2024-11-15 18:30:00,workshop delves significance choreography emphasizing intricacies involved crafting routines resonate audiences discusses finer details costume selection lighting essential components essential polished performance open students interested future performances whether part team individuals offers valuable insights art choreography,lasya,food,,cococino memorial uniontempe campus,0
Club Hub 2024,2024-08-22 17:00:00,club hub polys largest involvement fair annual tradition polytechnic campus club hub opportunity students connect student organizations polytechnic campus get involved campus life check amazing things students join organization department interested tabling event please contact polytechnicclubsedu information please aware student organizations must registered university sun devil sync participate rsvping event serve rsvp general attendee tabling organization,polytechnic,food stuff,club meetings clubs organization information general student engagement event student organization event welcome event graduate new student experience,sdfc poly indoor courts,0
Coffee Hours,2024-09-23 10:30:00,scetl student assembly cafe series students meet informally selection scetl professors join us cup coffee get know program professors better,scetl student assembly,food,,scetl student library,0
College of Global Futures Undergraduate Welcome Assembly,2024-08-20 16:30:00,incoming undergraduate students college global futures invited fall welcome assembly take time connect leadership faculty staff student leaders college school also chance mingle new students assembly head sun devil stadium represent cgf sun devil welcome miss chance get know fellow cgf classmates start building friendships giveaways free food keep energized sun devil welcome rsvp required students receive link rsvp via email cannot wait see,college global futures,food stuff,welcome event,walton center planetary health e university dr tempe,0
College of Health Solutions - Health Devil Welcome!,2024-08-20 13:00:00,asu college health solutions wants welcome class asu come see college offer preview upcoming first year health devil get know fellow students student leaders faculty staff designated campus fun activities games heading tempe campus dinner dean pick shirt annual fall welcome inferno fest want miss campus meet ups held tuesday august th p arizona time incoming first year first year transfer students expected attend fall health devil welcome please attend assigned campus west valley campus check location sands breezeway tempe campus check location coor hall breezeway polytechnic campus check location aravaipa auditorium downtown phoenix campus check location health north lobby attending students bussed via asu shuttle tempe campus p dinner deans inferno fest tickets take place tempe campus memorial union ballroom p,host organizations college health solutions tempe downtown polytechnic west valley,food stuff,welcome event inperson event,health north n rd st phoenix aravaipa auditorium e sonoran arroyo mall lattie f coor hall forest mall sands classroom bldg n th ave,0
College of Integrative Sciences and Arts (CISA) New Student Welcome,2024-08-20 15:30:00,meet fellow class college integrative sciences arts peers campuses welcome college connect fellow cisa students interactive activities dinner come learn cisa get inspired collect free giveaways make new memories dinner head sun devil welcome infernofest together clear bag policy enforced clear plastic water bottles transportation cisas new student welcome sun devil welcome provided please return transportation details event date approaches,host organizations college integrative sciences arts tempe downtown polytechnic,food stuff,welcome event,cooley ballrooms polytechnic campus,0
Community Education Ambassador Positions and Understanding Federal Work-Study,2024-08-08 13:00:00,join us learn federal work study use earn money school session also learn america reads federal work study position ideal building resume putting lessons classroom action,host organizations teachers college office academic career success oacis tempe west valley,,welcome event,online,0
Confidence Coalition,2024-11-22 09:00:00,creating confidence kappa deltas,kappa delta,,,mu tablingmu,0
"Connect For Change: Service, Entrepreneurship, and Civic Engagement Student Organization Fair",2024-08-19 16:00:00,connect change opportunity meet sign part many student organizations clubs focused community service civic engagement social entrepreneurship stop grab snack swag participate service project learn make difference community sun devil,changemaker central tempe,food stuff,changemaker central clubs organization information welcome event community service civic engagement entrepreneurship innovation inperson event,changemaker central lounge memorial union e orange st tempe,0
Convey Your Story Using Data Visualization with Python,2024-09-25 10:00:00,numbers speak convey story using data visualization python struggling find best way present data set trying find way create compelling data visualizations help tell story come find python help open lab asu librarys abi mercado rivera cover basics data visualization show best practices visualizing data teach python learn common easy use packages use create graphs visualizations help engage readers lead findings workshop anyone interested creating data visualizations python taught entry level coding necessary demonstration feel free follow along using python device,library,,,online,0
Corn Maze,2024-10-18 19:30:00,members interact casual environment strengthen connections,business school council,,,vertuccio farm corn adress power rd mesa,0
Cornhole + Breezy Pops,2024-08-20 18:15:00,join us courtyard cornhole win prizes enjoy amazing popsicles new students swing infernofest sun devil stadium drop free popsicles,saints catholic newman center,food stuff,,saints catholic newman center e university dr tempe,0
Create Your Own Edible Mushroom Grow Kits,2024-10-02 18:30:00,join shroom society learning grow mushrooms home take back grow kit rsvp soon spots limited one popular events wed love see,shroom society,stuff,club meetings clubs organization information general sustainability inperson event new student experience,memorial union room,0
Culture Kickoff,2024-08-22 17:00:00,culture kickoff centered around exploring identity promoting inclusion celebrating cultural expression event connect foster sense belonging among students come meet culturally based student coalitions along cultural connections staff support advocate diversity inclusion among students staff community asu immerse performances music sweet treats culturally relevant conversations culture kickoff pm outside memorial union student pavilion,culture,food stuff,culture asu,memorial union mall east orange street tempe,0
DAY At The Student Center,2024-08-24 15:00:00,students able experience learn pab socializing students live campus able play mini golf video games ping pong clear bag decoratingstuffing drink soda floats,programming activities board downtown phoenix,food stuff,club meetings clubs organization information general pab event welcome event inperson event new student experience,student center n central ave phoenix,1
DVSF Volleyball Night,2024-08-23 19:00:00,social event members friends asu students volleyball net set lawn lawn games students jump tent want ice water lemonade snow cones possible chips salsa refreshments two blue tooth speakers playing background music,desert valley student fellowship,food,clubs organization information welcome event inperson event,online,0
Date Party,2024-09-28 17:30:00,date party kappa deltas,kappa delta,,,monarch theater e washington st phoenix,1
Day at the State Fair!,2024-10-15 17:00:00,arizona state fair trip join egyptian student association exciting trip arizona state fair space people make sure rsvp soon possible secure spot well carpooling fair need worry finding ride enjoy day full fun games delicious food great company miss fantastic opportunity experience arizona state fair fellow students see,egyptian student association,stuff,,state fair grounds w mcdowell rd phoenix united states,0
Degrees,2024-09-03 19:00:00,new pc learn kappa delta,kappa delta,,,glccglcc,0
Diablo's Club Zero: Get Connected Kick-off event,2024-08-18 19:00:00,join us diablos club zero august th pm pm exciting kickoff asus welcome week event offers new students moved chance relax fun cool activations refreshing treats array vendors meet mingle student organizations featured throughout week get details upcoming welcome week events come chill blaze campus life us,unknown,food stuff,clubs organization information general student engagement event welcome event inperson event,student services lawn forest ave tempe,1
Dinner Detective,2024-09-13 18:00:00,come join programming activities board college integrated sciences arts student connection community dinner detective murder mystery dinner anyone room end part show action happens throughout entire room throughout night crime occur hidden clues revealed detectives help everyone try crack case please arrive pm refreshments served rsvp required attend,polytechnic,food,student engagement event inperson event,student union cooley ballrooms,0
Disney Trivia Presented by the College of Integrative Sciences and Arts,2024-08-27 16:30:00,test knowledge mickey friends join college integrative sciences arts evening disney trivia food chance win magical prizes students majors welcome,host organizations college integrative sciences arts polytechnic,food,welcome event,polytechnic cooley b,0
Diversity Internships,2024-09-23 18:00:00,internship learning event increase diversity equity inclusion professional development knowledge,business school council,,,business administration ba,0
"Documentary Screening of ""The Journey"" with DOCLAND FILMS & Amplify",2024-09-05 17:00:00,join us compelling heartwarming documentary tells story three survivors sex trafficking following film engage interactive live panel discussion executive producer director film subjects food refreshments provided doors open pm event take place september concho room westward ho asu downtown campus special guest ana pincus executive producer director docland films founder akhilanda womens foundation,watts college public service community solutions,food,career professional development general welcome event community service civic engagement inperson event,westward ho concho room n central ave phoenix,0
Does God Exist? A Respectful Discussion,2024-09-03 18:00:00,students voting favorite arguments existence god time thoughtful respectful discussion common arguments submitted dinner provided well drawing name win giant gummy bear sure rsvp enough pizza,ratio christi tempe,food stuff,club meetings clubs organization information general inperson event,mu e orange street tempe,0
Donuts for Dollars,2024-10-10 08:00:00,selling donuts raise money pcaa,unknown,,,outside glccoutside glcc,0
Drawing with Dean Fall 2024,2024-09-09 16:30:00,join us another semester free open figure drawing sessions faculty led open studio workshop available students want develop figure drawing skills regardless major school affiliation cost attend live nude model need bring preferred medium drawing implements bonus semester host two different series running simultaneously mondays short pose min poses fridays long pose hour minute poses,art student koalition,,club meetings inperson event,art,0
Dream Board Event,2024-09-04 18:00:00,join us inspiring creative dream vision board workshop event designed help visualize goals dreams aspirations whether want focus personal growth career achievements life adventures creating vision board powerful tool manifest dreams reality,pretty smart club,,,mu union stage,0
EASGrad Welcome Party,2024-08-30 18:00:00,reception welcome returning new students faculty members east asian studies field second person gathering students faculty members different departments schools meet foster communication share research interests,east asian studies graduate students association,,,durham hall room cady mall tempe,0
EFA General Meeting,2024-08-28 18:00:00,general meeting economics finance association,economics finance association,,,business administration building,0
EOSS Open House,2024-08-21 16:00:00,join us eoss open house august st pm pm student center post explore different offices learn support sun devils academic personal journey open students miss outsee,downtown,stuff,welcome event inperson event,student center post n central ave phoenix,0
Echo from the Buttes,2024-08-24 08:00:00,echo buttes celebration new sun devils beginning journey asu thousands students hike mountain take part one universitys oldest traditions reaching top students receive white paint use hands forever leave imprint iconic symbolizing fresh start new beginning within sun devil community want volunteer fill form,student alumni association arizona state university,stuff,general welcome event inperson event new student experience,mountain packard dr tempe,1
Edson College Fall Welcome - College Assembly,2024-08-20 15:00:00,calling new first year students get ready annual college assembly event want miss join us opportunity meet amazing college leadership connect students student leaders gear first weeks asu perfect way embark journey edson college miss exciting welcome celebration doors open pm event starts pm,host organizations edson college nursing health innovation student engagement downtown polytechnic west valley,food stuff,welcome event inperson event new student experience,sun devil fitness complex downtown phoenix campus st ave phoenix,0
Edson College Residential Welcome - Downtown,2024-08-18 14:00:00,welcome gordon commons residential community super excited start semester fantastic residential experience lined come hang meet community assistants student leaders connect new neighbors snag asu gear start making fun memories first edson college event,host organizations edson college nursing health innovation student engagement downtown,food stuff,welcome event inperson event new student experience,health north n rd st phoenix,1
Edson's Casa de Oro Welcome Brunch,2024-08-21 12:00:00,welcome casa de oro residential community super excited start semester fantastic residential experience lined come brunch us connect new neighbors snag asu gear start making fun memories event students part edson college nursing health innovation,host organizations edson college nursing health innovation student engagement west valley,food stuff,welcome event inperson event new student experience,casa de oro lobby west verde mall glendale,0
Egyptian Movie Night,2024-09-24 18:00:00,egyptian student association movie night join us unforgettable egyptian student association movie night well screening popular egyptian movie surely entertain inspire come enjoy relaxing evening fellow students complete delicious snacks drinks event fantastic opportunity unwind experience piece egyptian culture make new friends bring blankets get ready cozy night watching movie eating snacks look forward seeing evening film fun community,egyptian student association,food,welcome event culture asu cultural connections multicultural communities excellence,student pavillion e orange st tempe united states,0
Egyptian Student Association Welcome Event,2024-08-31 16:00:00,egyptian student association welcome event join us warm vibrant egyptian student association welcome event get ready kick new school year delicious snacks mouth watering pizza engaging ice breaker games perfect opportunity egyptian students connect make new friends build strong community well also special gifts everyone take home ensuring leave high hopes excitement year ahead miss chance bond laugh create lasting memories cannot wait see,egyptian student association,food stuff,welcome event culture asu cultural connections multicultural communities excellence,hayden library lawn e orange st tempe united states,1
Endurance Over Enthusiasm: Key Strategies for Long-Term Business Success,2024-09-12 17:30:00,endurance enthusiasm key strategies long term business success please join us exclusive entrepreneur speaker event discover perseverance strategic planning consistent effort lead lasting success learn allan draper industry titan founded successful companies master critical skills needed navigate entrepreneurial journey gain power perseverance learn stay resilient focused even challenging times art strategic planning develop plans ensure sustainable growth success consistency success discover consistent effort key achieving business goals attend enhance resilience actionable insights enjoy motivating professional atmosphere network fellow entrepreneurs build valuable connections attend event perfect entrepreneurs prototype development phase perseverance strategic planning crucial event highlights inspiring actionable keynote speech opportunities connect like minded professionals dinner provided attendees miss chance transform entrepreneurial mindset strategy secure spot today ready take business next level,student entrepreneurship organization,credit food,club meetings clubs organization information entrepreneurship innovation inperson event wp carey event,ba room business adminstration building e lemon st tempe,0
Entertainment Business Association,2024-08-29 18:00:00,entertainment business association eba student organization asu dedicated building diverse community young professionals passionate business side entertainment industry members develop business skills explore careers industry eba provides valuable inclusive experiences professional workshops industry experiences guest speakers build successful community within asu industry eba hosts regular weekly meetings thursdays pm bring speakers various parts entertainment industry share career path knowledge industry offer advice members eager join entertainment industry speakers arrive either person zoom additionally eba hosts workshops socials events prepare members entertainment industry allow network fellow members engage eba overall,unknown,stuff,club meetings inperson event,ba,0
Entheogenic Mysticism,2024-11-06 18:30:00,come join psychedelics club week discussion entheogenic mysticism entheogens psychoactive substances used sacred contexts close relationship mystical spiritual religious experiences come learn close relationship plays essential role psychedelic experience food snacks provided,host organizationt psychedelics club,food,club meetings general sync new student experience,mu coconino,0
Essentials of Discriminative AI and Convolutional Neural Networks,2024-11-13 10:00:00,open lab namig abbasov digital humanities analyst first define boundaries discriminative ai comparing generative ai explore several techniques discriminative ai discriminative third part cover discriminative techniques deep learning dive convolutional neural networks cnns first demonstrating work outlining major architectures alexnet resnet efficientnet much time allows register,library,,,online,0
Essentials of Generative AI and Large Language Models,2024-10-02 10:00:00,open lab digital humanities analyst namig abbasov cover generative ai large language models llms first define generative ai works attendees learn differences generative ai discriminative ai followed introduction generative models generative adversarial networks gans variational autoencoders vaes last part open lab explore principles transformer architecture advent became defining moment generative ai turning fundamental building blocks llms register,library,,,online,0
FLCs for FYS,2024-08-15 16:00:00,new incoming freshmen meet faculty teach education classes freshman year learn college classes get questions college level work answered,host organizations teachers college office academic career success oacis tempe west valley,,welcome event,online,0
FSL Risk Management Training,2024-08-26 17:00:00,semesterly risk management training chapter executive boards,fraternity sorority life,,,greek leadership community center room,0
FSL Welcome Back Block Party- Fraternity Forum,2024-08-19 18:00:00,join fraternity sorority life welcome back event fraternity forum meet social greek letter organizations interfraternity council ifc national pan hellenic council nphc multicultural greek council mgc national association latino fraternal organizations nalfo,fraternity sorority life,,clubs organization information general welcome event inperson event new student experience,greek leadership village lawn greek leadership community center rural road tempe,0
FSL Welcome Back Block Party- Panhellenic Preview & Sorority Showcase,2024-08-19 10:30:00,join fraternity sorority life welcome week event meet organizations learn sororities arizona state university opportunity meet members fsl related sororities campus get sneak peak greek leadership village greek leadership community center meet social greek letter organizations panhellenic council cph national pan hellenic council nphc multicultural greek council mgc national association latino fraternal organizations nalfo learn recruitment intake practices expectations,fraternity sorority life,,welcome event,greek leadership community center greek leadership village,0
Fall Banquet,2024-11-22 17:00:00,honor graduating seniors celebrate semester accomplishments,lambda theta nu sorority inc,,,glcc,0
Fall Carnival,2024-09-13 18:00:00,fall carnival asianasian pacific american students coalition aapasc annual asu welcome event explore diverse member organizations engage games win prizes enjoy performances led members community come meet organizations fun friends make new ones,asianasian pacific american student coalition,food stuff,welcome event inperson event,sdfc fields,0
Fall Formal Recruitment Round 1,2024-08-22 13:00:00,viewing chapter videos recruitment groups,panhellenic council,,,greek leadership village rural rd tempe,0
Fall Formal Recruitment Round 2,2024-08-23 08:00:00,philanthropy round formal recruitment,panhellenic council,,,greek leadership village rural rd tempe,0
Fall Formal Recruitment Round 3,2024-08-30 16:00:00,sisterhood round formal recruitment,panhellenic council,,,greek leadership village rural rd tempe,0
Fall Formal Recruitment Round 4,2024-09-01 08:00:00,preference round formal recruitment,unknown,,,greek leadership village rural rd tempe,1
Fall Welcome Meeting,2024-08-27 17:45:00,gis asu host first meeting school year overview organization provided well introduction years officers look forward meeting new members,gamma iota sigma kappa chapter,food,career professional development club meetings,wxlr palm walk tempe,0
Fall Welcome Student Reception at ASU California Center Grand,2024-08-21 17:30:00,join us fall welcome student reception california center grand taking place beautiful grand hope park exciting event perfect opportunity new returning students come together kick new semester style network fellow students meet dedicated staff esteemed faculty enjoy festive atmosphere filled great food refreshments lively music get ready immerse vibrant community california center make new connections fuel excitement upcoming academic year,host organizations herberger institute student engagement creative career services new student programs california center,food,new student experience california center events,california center grand grand avenue los angeles ca,0
Fall Welcome Tabling,2024-08-22 10:00:00,come visit table memorial union first two weeks class snacks swag provided come find means know christ make known help others,navigators,food stuff,clubs organization information welcome event memorial union student pavilion programs inperson event new student experience,memorial union e orange st tempe,0
