event_name,datetime,description,host_org,event_perks,categories,location,event_weekend
AOII Pinning Ceremony,2024-09-14 10:00:00,Ceremony for new members,Alpha Omicron Pi,,,GLCC 206/208 AB,1
ASU Catholic Welcome Reception,2024-08-18 09:00:00,"Join us between Sunday Masses to meet our chaplains, missionaries and campus ministry staff! Be sure to grab a welcome bag and light refreshments! Members of our various Newman student clubs will also be tabling in the hall.",All Saints Catholic Newman Center, Food   Stuff,Welcome Event,"All Saints Catholic Newman Center230 E. University Dr, Tempe, ",1
ASU Night at Arizona Diamondbacks,2024-08-28 18:40:00,Get your forks up: ASU Night is coming to Chase Field! Join your fellow Sun Devils for ASU Night on August 28. Students can purchase discounted Bleacher tickets for $2. Text 'STUDENT' to 76925 to get access to tickets or visit DBACKS.com/STUDENT, Polytechnic,,"General, University Signature Event",Chase Field - Phoenix,0
ASU School of Art Undergraduate Fall Welcome 2024,2024-08-20 10:30:00,"Welcome to the School of Art! We're so glad you're here.   Please join us for Undergraduate Fall Welcome Orientation, which will include a staff presentation at the Design North building (CDN60), an opportunity to meet some of our faculty and explore all three buildings that you will be attending class in! This event is highly recommended for all incoming undergraduate students. In addition to providing information about the School of Art and its departments, we will also offer details about resources, services, and ways to connect with the community    and we'll answer any questions you may have. SOA swag, pizza and a fun scavenger hunt provided    Looking forward to seeing you there!", School of Art, Food   Stuff,"Welcome Event, In-Person Event, New Student Experience","Design North Room CND60810 S Forest Mall  Room 60, Tempe, ",0
ASU Tempe Welcome Week (Fall 2024),2024-08-21 18:00:00,Youthmappers is a worldwide network of students and researchers interesting in mapping and geospatial data. Our chapter holds regular meetings with a focus on furthering our mapping skills and problem solving.   Look for us at the Welcome Week tabling event to learn more!,YouthMappers at ,,,"Memorial Union301 E Orange St., Tempe,  85281",0
ASU United Worship Gathering,2024-08-22 19:00:00,"Come together with all the other campus ministries at Arizona State for a night of worship and fellowship. Following the event, there will be a club fair for all the christian campus ministries. This will be an opportunity for students to find a good campus ministry fit and get plugged in during their time in college. This event is hosted by ASU United and will be an encouragement for all students to reach their friends with the love and hope of Jesus.",InterVarsity Christian Fellowship,,Welcome Event,"Neeb Hall L. S. Neeb Hall, 920 S Forest Mall, , Tempe, ",0
AZ Hugs,2024-10-06 15:00:00,To support a local Tempe charity and engage students with hands on service work., Business School Council,,,"Papago Park, Adress: 625 N Galvin Pkwy, Phoenix,  85008",1
AZCALL 2024 Conference,2024-09-21 09:00:00,"The CALL Club at ASU is thrilled to announce its 11th annual AZCALL conference which will be held at Arizona State University on September 21st, 2024. We encourage proposals related to research on computer assisted language learning and teaching, particularly proposals with a well defined theoretical or conceptual framework.",Host OrganizationT The Computer-Assisted Language Learning Club at Arizona State University®,,,"ASU Memorial Union301 East Orange Street, Tempe, ",1
Affording Medical School (Workshop Included),2024-10-09 17:30:00,"Attending medical school should be accessible for all economic statuses. Join MiM to learn about different pathways to finance medical school, such as scholarships, pathway programs, federal aid, loan repayment programs, etc. We will also discuss assistance programs for pre health endeavors such as MCAT fees, application fees, etc.  WORKSHOP: Stay afterwards for help applying to the Fee Assistance Program offered by the AAMC. We will be applying together as a group with guidance from a former recipient. A laptop device is required. If planning to apply, please have copies to the following documents: your W2, Form 1040 (tax return), and your parents' tax forms as well.",Minorities in Medicine, Food,"Career and Professional Development, Clubs and Organization Information, Civic Engagement, Interfaith Harmony Week","Memorial Union #226 (Graham Room)301 E Orange St., Tempe,  85281",0
Agent/NIL Agent Panel,2024-10-10 18:00:00,"Students will gain a comprehensive understanding of the evolving landscape of athlete representation and Name, Image, and Likeness (NIL) deals from experienced agents. They will also have the chance to network with industry professionals, opening doors to potential mentorship, internships, and career opportunities in sports agency and management.",Sports Business Association at ,,,"BAC 215400 E Lemon St, Tempe,  85281",0
Alumni Brunch,2024-11-23 10:00:00,Having brunch with our alumni.,Kappa Delta,,,KD glvKD glv,1
Anime Avalon Fall 2024 Meeting 1,2024-09-06 18:00:00,"This is our first event of the Fall 2024 semester. We are a club dedicated to Japanese anime. If you like watching it, talking about it, or going to conventions with its themes, then stop by!",Anime Avalon at Arizona State University, Food,"Club Meetings, General, Sync","MU 202 (Alumni Lounge)301 E Orange St. MU 202 , Tempe, ",0
Anime Avalon Fall 2024 Meeting 2,2024-09-20 18:00:00,"This is our second event of the Fall 2024 semester. We are a club dedicated to Japanese anime. If you like watching it, talking about it, or going to conventions with its themes, then stop by!",Anime Avalon at Arizona State University, Food,"Club Meetings, General, Culture @ ASU, Sync","MU 225 (Yuma)301 E Orange St.  Room 225, Tempe, ",0
Anime Avalon Fall 2024 Meeting 3,2024-09-27 18:00:00,"This is our third event of the Fall 2024 semester. We are a club dedicated to Japanese anime. If you like watching it, talking about it, or going to conventions with its themes, then stop by!",Anime Avalon at Arizona State University, Food,"Club Meetings, General, Culture @ ASU, Sync","MU 246 Coconino301 E Orange St. MU 246, Tempe, ",0
Anime Avalon Fall 2024 Meeting 4,2024-10-11 18:00:00,"This is our first event of the Fall 2024 semester. We are a club dedicated to Japanese anime. If you like watching it, talking about it, or going to conventions with its themes, then stop by!",Anime Avalon at Arizona State University, Food,"Club Meetings, General, Culture @ ASU, Sync","MU 240 Navajo301 E Orange St., Tempe, ",0
Anime Avalon Fall 2024 Meeting 5,2024-10-18 18:00:00,"This is our fifth event of the Fall 2024 semester. We are a club dedicated to Japanese anime. If you like watching it, talking about it, or going to conventions with its themes, then stop by!",Anime Avalon at Arizona State University, Food,"Club Meetings, General, Culture @ ASU, Sync","Navajo301 E Orange St. MU 240, Tempe, ",0
Anime Avalon Fall 2024 Meeting 6,2024-11-01 18:00:00,"This is our sixth event of the Fall 2024 semester. We are a club dedicated to Japanese anime. If you like watching it, talking about it, or going to conventions with its themes, then stop by!",Anime Avalon at Arizona State University, Food,"Club Meetings, General, Sync","MU 240 Navajo301 E Orange St. MU 240, Tempe, ",0
Anime Avalon Fall 2024 Meeting 7,2024-11-15 18:00:00,"This is our seventh event of the Fall 2024 semester. We are a club dedicated to Japanese anime. If you like watching it, talking about it, or going to conventions with its themes, then stop by!",Anime Avalon at Arizona State University, Food,"Club Meetings, General, Sync","MU 242 La P301 E Orange St. MU 242, Tempe, ",0
Anime Avalon Fall 2024 Meeting 8,2024-11-22 18:00:00,"This is our eight event of the Fall 2024 semester. We are a club dedicated to Japanese anime. If you like watching it, talking about it, or going to conventions with its themes, then stop by!",Anime Avalon at Arizona State University, Food,"Club Meetings, General, Sync","MU 240 Navajo301 E Orange St. MU 240, Tempe, ",0
"Are You Just Your Brain? The Brain, Mind, Soul Relationship",2024-09-19 12:30:00,"Join us for free pizza, several raffle prizes, and deep discussion led by Dr. Greger (prof. of Neural Engineering)! Can all human thought be explained through understanding brain physiology? Dr. Greger will discuss the limits of scientific inquiry and a strictly materialistic worldview, then most of our time will be dedicated to open discussion. This is a friendly environment to share doubts, questions, challenges, and alternative viewpoints!",Ratio Christi at  Tempe, Food   Stuff,"Club Meetings, Clubs and Organization Information, General, Welcome Event, In-Person Event","MU 228301 E Orange Street, TEMPE",0
Aris Foundation Snack Packs,2024-09-24 16:00:00,To support a local Tempe charity and engage students with hands on service work., Business School Council,,,"Aris Foundation, Adress: 1210 W Alameda Dr # 115, Tempe,  85282",0
Art After Dark,2024-08-17 19:30:00,"Come to the Student Union and enjoy an evening of music, crafts, board games, and free food. after....get ready to be entertained by Hynotist and Mentalist, Michael C. Anthony.", Polytechnic, Food,"Student Engagement Event, Welcome Event, New Student Experience",Student Union,1
Astronomy Club at ASU - August Meeting,2024-08-30 20:00:00,"On Friday, August 30th at 8:00pm, come join the Astronomy Club at ASU on the Tempe campus (PSH 150) on or through Zoom to make friends and learn about space in hands on ways! Our first meeting of the semester, we will be discussing the origins of astronomy, what's in the night sky right now, host some space related games, and we will have observations through our telescopes from the roof (if the weather permits).  Free food will be on a first come first serve basis!",Astronomy Club at Arizona State University, Food,"Club Meetings, General, Sync, In-Person Event","Physical Sciences Center H Wing, 150Bateman Physical Sciences Center H Wing H150",0
BID DAY,2024-09-02 09:00:00,Giving out bids to the new pc,Kappa Delta,,,Mullet Arena and Octane RacewayMullet Arena and Octane Raceway,0
BIG/LITTLE speed dating,2024-09-10 19:00:00,Bigs and littles going on dates in the kd glv,Kappa Delta,,,KD GLVKD GLV,0
Barrett Bonanza - Welcome Event,2024-08-17 20:00:00,"Come join your Barrett CAs for a one of a kind welcome event featuring outdoor games, DIY crafts, and speed friending.",Unknown, Food   Stuff,,Barrett Great Court,1
Bharathanatyam Beginnings - A Journey Through Dance,2024-09-09 18:30:00,  To get in touch with dance again and connect with other dancers to be a part of the community. We will be doing basic steps and by the end learn a complicated sequence of steps called Jathis. This is open to all students in ASU who are interested to learn the artform or act as a refresher for those who are already into dancing. This will be a weekly event!,Lasya at , Food,,"Infinity StudioSDFC, Tempe",0
Bibles & Coffee - The Well @ ASU,2024-08-18 08:30:00,"Join us at 8:30am by the Hassayampa Bike Racks to enjoy reading Bibles together and local craft cold brew (and pastries!). Feel free to either bring something you're already reading, or join in on something we're reading.  Can't find us? Call/Text: 480.269.4633 Check out our other events going on: https://thewellatasu.com/events",The Well,,,"Hassayampa Bike Racks1201 S McAllister Ave, Tempe, ",1
Bid Day,2024-09-02 10:30:00,The final day of formal recruitment where potential new members will receive their bids and be released for activities with their chapter!,Unknown,,,"Mullet Arena411 S Packard Dr, Tempe, ",0
Bid Day,2024-09-02 12:00:00,Alpha Delta Pi formal recruitment bid day.,Alpha Delta Pi Sorority,,Sync,"GLV975 s rural road , tempe, ",0
Bid Day Celebration,2024-09-02 09:00:00,Celebration of accepting a new member class!,Pi Beta Phi Sorority,,,Legends Event Center,0
Big/little reveal,2024-10-04 16:00:00,Bigs revealing their selfs to their littles,Kappa Delta,,,KD GLVKD GLV,0
Blue Bag Sorting,2024-10-02 10:00:00,"Join ASU Zero Waste as we celebrate Campus Sustainability Month with a Blue Bag Sort day of service. The Day of Service will take place from 10:00 AM 12:00 PM at the Zero Waste Office.    Day of Schedule:   9:50 A.M.   Volunteers arrive. 10:00 A.M.   Brief program background and safety overview. 10:10 A.M. to 11:50 A.M.   Begin sorting. 11:50 A.M.   Impact and takeaways debrief. 12:00 P.M.   Release.  Transportation: Park at Lot 45 (Pass or Pay) or lock your bike at the Northeast bike locker next to the University Services Building. Wear/Bring: Bring a reusable water bottle, wear closed toed shoes and long sleeves or sunscreen. Restrooms and water refill stations are available.",Zero Waste,,"Community Service, Sustainability, In-Person Event","Zero Waste Office1422 S Jentilly Lane, Tempe, ",0
Bollywood Night 2024,2024-08-29 18:15:00,This is an open dance floor event where the students can dance on various Bollywood and other Indian songs.,Host Organizations Indian Students' Association   International Student and Scholars Center,,"General, International, In-Person Event","Senita Ballroom400 E Orange St., Tempe, ",0
Breadth of Healthcare and Medicine,2024-09-25 17:30:00,"Join a speaker panel with a current medical student, PA student, veterinarian student, and more to learn about the diverse pathways in medicine. They will be talking about their pathways to medicine as minorities from diverse backgrounds. This is an opportunity to ask questions, learn, and connect with incredible people. Light refreshments will be provided.",Minorities in Medicine, Food,"Career and Professional Development, General","Memorial Union #226 (Graham Room)301 E Orange St., Tempe,  85281",0
Breath work and Yoga,2024-11-20 18:30:00,"Come join Psychedelics club this week! As the seamster starts to wind down, we will be offering a breath work and yoga class. Specific methods of breathing can provide heightened awareness and sometimes an altered state of conciseness accompanied with relaxation and clarity. This is a great way to destress and reset in preparation for end of the semester projects and finals.",Host OrganizationT The Psychedelics Club at ,,"Club Meetings, General, Welcome Event, Sync, In-Person Event, New Student Experience",MU 246 Coconino,0
Business Ambassadors at W. P. Carey Informational Meeting,2024-09-04 17:00:00,"Join the BizAmb Informational Meeting to learn about the Business Ambassadors at W. P. Carey, meet current Ambassadors, and receive information about the application process.",Business Ambassadors at W. P. Carey,,W.P. Carey Event,BA 199,0
Business School Council General Meeting,2024-08-26 17:00:00,Weekly General Meeting hosted for all members of the Business School Council., Business School Council,,,Business Administration (BA) 199,0
CAB/council meetings,2024-09-08 14:00:00,Meeting with our cab to go over what we have for the upcoming months.,Kappa Delta,,,GLCCGLCC,1
Campus Ambassadors Volleyball Tournament,2024-08-21 18:30:00,Join us for our annual volleyball tournament! Teams will be randomly grouped and play 4v4 in the sand pits outside the SDFC.,Host OrganizationC Campus Ambassadors - P,,"Welcome Event, In-Person Event","SDFC Volleyball Pits5950 S Tweet St, Mesa, ",0
Campus Tours - Where are my classes?,2024-08-21 10:00:00,Don't want to wait until the first day of classes to know where your classes are located? We've got you covered. Bring your class schedule loaded on your ASU Mobile App. We can show you where all your classes are located and all the great places to hang out on campus.  Tours leave from the Faculty Administration Building (FAB)   First Floor Lobby at the scheduled time of the event.,Host Organizations New College of Interdisciplinary Arts and Sciences   West Valley,,"Welcome Event, In-Person Event","Faculty Administration Building (FAB) - 1st Floor Lobby13591 N. 47th Ave., Phoenix, ",0
Challenge,2024-08-22 19:30:00,"Join us for a night of community and spiritual conversations! We will be hosting a conversation on faith followed by games, activities and fellowship with dinner provided. Anyone is welcome!",Christian Challenge at  Downtown, Food,"Club Meetings, Welcome Event, Sync, In-Person Event","Student Center at the Post Office522 N Central ave, Phoenix, ",0
Chapter,2024-08-25 18:00:00,The brother of Phi Kappa Theta will meet at the GLCC to discuss the plans and events for the upcoming week.,Phi Kappa Theta,,,TBD,1
Chapter Meeting,2024-08-26 19:30:00,Discuss chapter business on a weekly basis.,"Lambda Theta Nu Sorority, Inc",,,GLCC 105,0
Chapter Meeting,2024-09-16 19:30:00,   Discuss chapter business on a weekly basis.,"Lambda Theta Nu Sorority, Inc",,,Downtown Campus,0
Chat with SDGFC 💬,2024-08-12 12:00:00,"Join our new networking initiative ""Chat Time with SDGFC"" on this SDGFC WhatsApp Group.  🤩🤩 The chat time will be conducted biweekly, totally via WhatsApp chat. The topic for each chat will be announced a day before the gathering time. The 1st 1 hour chat time is on Monday (August 12) at 12 PM AZ. SDGFC FB: https://www.facebook.com/groups/376708340540984 SDGFC LinkedIn: https://www.linkedin.com/company/sun devils global friends club sdgfc/?viewAsMember=true SDGFC WhatsApp: https://chat.whatsapp.com/JqK6gR3BnOS4TxprqMLEWt SDGFC Instagram: https://www.instagram.com/sdgfc.asu/?igshid=MzRlODBiNWFlZA%3D%3D SDGFC Sync: https://asu.campuslabs.com/engage/organization/sdgfc",Sun Devils Global Friends Club,,,Online,0
Chinese American Student Association General Meeting,2024-08-27 18:30:00,The Chinese American Student Association is hosting a general meeting intended to foster community and encourage fellowship between Chinese American identifying individuals on ASU’s campus.,Chinese American Student Association,,Club Meetings,Hayden C7,0
Choreography Workshop,2024-11-15 18:30:00,"This workshop delves into the significance of choreography, emphasizing the intricacies involved in crafting routines that resonate with audiences. It discusses the finer details of costume selection, lighting, and other essential components essential for a polished performance. Open to all students interested in future performances, whether as part of the team or as individuals, it offers valuable insights into the art of choreography.",Lasya at , Food,,"Cococino, Memorial UnionTempe Campus",0
Club Hub 2024,2024-08-22 17:00:00,"Club Hub is Poly's largest involvement fair and an annual tradition at the Polytechnic Campus. Club Hub is an opportunity for students to connect with student organizations at the Polytechnic campus and Get Involved with campus life. Check out the amazing things our students are doing and how you can join. **If your organization or department is interested in tabling at the event, please contact polytechnicclubs@asu.edu for more information. Please be aware student organizations must be registered with the university on Sun Devil Sync to participate. RSVPing to this event here will serve as an RSVP as a general attendee  not as a tabling organization.", Polytechnic, Food   Stuff,"Club Meetings, Clubs and Organization Information, General, Student Engagement Event, Student Organization Event, Welcome Event, Graduate, New Student Experience",SDFC Poly- Indoor Courts,0
Coffee Hours,2024-09-23 10:30:00,The SCETL Student Assembly Cafe is a series where students can meet informally with a selection of the SCETL professors. Join us for a cup of coffee and get to know our program and professors better!,The SCETL Student Assembly, Food,,SCETL Student Library,0
College of Global Futures Undergraduate Welcome Assembly,2024-08-20 16:30:00,"Incoming undergraduate students in the College of Global Futures are invited to our fall welcome assembly. Take time to connect with the leadership, faculty, staff, and student leaders of both your College and School. You also will have the chance to mingle with other new students. After the assembly, we will head to Sun Devil Stadium to represent CGF at Sun Devil Welcome! Don’t miss out on this chance to get to know your fellow CGF classmates and start building friendships. We will have giveaways and free food to keep you energized before Sun Devil Welcome.  RSVP is required and students will receive a link to RSVP via email. We can’t wait to see you there!",College of Global Futures, Food   Stuff,Welcome Event,"Walton Center for Planetary Health777 E. University Dr., Tempe, ",0
College of Health Solutions - Health Devil Welcome!,2024-08-20 13:00:00,"ASU College of Health Solutions wants to welcome you  Class of '28 to ASU! Come out, see what your college has to offer you, and preview your upcoming first year as a health devil. Get to know your fellow students, student leaders, faculty and staff on your designated campus with fun activities and games before heading to Tempe Campus for dinner with the dean and pick up your t shirt for the annual Fall Welcome and Inferno Fest. You don't want to miss it! Campus Meet Ups will be held on Tuesday August 20th, 2024 1:00 3:00p Arizona Time. Incoming first year and first year transfer students are expected to attend the Fall 2024 Health Devil Welcome. *Please attend on your assigned campus. West Valley Campus check in location: SANDS Breezeway Tempe Campus check in location: COOR Hall Breezeway Polytechnic Campus check in location: Aravaipa Auditorium Downtown Phoenix Campus check in location: Health North Lobby   All attending students will then be bussed via ASU shuttle to the Tempe Campus from 3:00 4:30p Dinner with the Deans and Inferno Fest tickets will take place in the Tempe Campus Memorial Union Ballroom from 4:30 6:30p",Host Organizations College of Health Solutions   Tempe    Downtown    Polytechnic   West Valley, Food   Stuff,"Welcome Event, In-Person Event","Health North 550 N 3rd St, PHOENIX, , Aravaipa Auditorium7211 E Sonoran Arroyo Mall, Lattie F. Coor Hall976 S Forest Mall, SANDS Classroom Bldg13492 N 47th Ave",0
College of Integrative Sciences and Arts (CISA) New Student Welcome,2024-08-20 15:30:00,"Meet up with your fellow class of 2028 College of Integrative Sciences and Arts peers from all campuses for a welcome from your college. Connect with fellow CISA students through interactive activities and dinner. Come learn what CISA is about, get inspired, collect free giveaways, and make new memories. After dinner we will head to the Sun Devil Welcome and Infernofest together. Clear bag policy will be enforced. Clear, plastic water bottles only. Transportation to and from CISA's New Student Welcome AND the Sun Devil Welcome provided. Please return for transportation details as the event date approaches.",Host Organizations College of Integrative Sciences and Arts   Tempe    Downtown    Polytechnic, Food   Stuff,Welcome Event,"Cooley Ballrooms, Polytechnic campus",0
Community Education Ambassador Positions and Understanding Federal Work-Study,2024-08-08 13:00:00,Join us to learn about Federal Work Study and how to use it to earn money while in school. During this session you will also learn about America Reads   a Federal Work Study position that is ideal for building your resume and putting lessons from the classroom into action.,Host Organizations Teachers College Office of Academic and Career Success (OACiS)   Tempe    West Valley,,Welcome Event,Online,0
Confidence Coalition,2024-11-22 09:00:00,Creating confidence in our Kappa Delta's.,Kappa Delta,,,MU tablingMU,0
"Connect For Change: Service, Entrepreneurship, and Civic Engagement Student Organization Fair",2024-08-19 16:00:00,"Connect for Change is an opportunity to meet and sign up to be a part of the many student organizations and clubs focused on community service, civic engagement and social entrepreneurship. Stop by and grab a snack, some swag, participate in a service project, and learn more about how you can make a difference in the community as a Sun Devil!",Changemaker Central at Tempe, Food   Stuff,"Changemaker Central, Clubs and Organization Information, Welcome Event, Community Service, Civic Engagement, Entrepreneurship & Innovation, In-Person Event","Changemaker Central Lounge in Memorial Union301 E Orange St., Tempe, ",0
Convey Your Story Using Data Visualization with Python,2024-09-25 10:00:00,"The Numbers Don’t Speak for Themselves: Convey Your Story Using Data Visualization with Python Are you struggling to find the best way to present a data set? Are you trying to find a way to create compelling data visualizations that can help you tell a story? Come find out how Python can help you. In this Open Lab, ASU Library's Abi Mercado Rivera will cover some of the basics of data visualization, show you some of the best practices when visualizing your data, and teach you how to do it with Python. You will learn about the most common and easy to use packages you can use to create graphs and other visualizations that can help you engage your readers and lead them to your findings. Our workshop is for anyone interested in creating data visualizations in Python and will be taught at an entry level. No coding is necessary for this demonstration, but feel free to follow along using Python on your device. https://asu.libcal.com/event/12733505", Library,,,Online,0
Corn Maze,2024-10-18 19:30:00,To have members interact in a casual environment and strengthen connections., Business School Council,,,"Vertuccio Farm Corn Me, Adress: 4011 S Power Rd, Mesa,  85212",0
Cornhole + Breezy Pops,2024-08-20 18:15:00,"Join us for Courtyard Cornhole at 6:15! Win prizes and enjoy amazing popsicles. New students, swing by InfernoFest at Sun Devil Stadium, or drop by after for your free popsicles.",All Saints Catholic Newman Center, Food   Stuff,,"All Saints Catholic Newman Center230 E. University Dr, Tempe, ",0
Create Your Own Edible Mushroom Grow Kits,2024-10-02 18:30:00,Join The Shroom Society in Learning how to grow your own mushrooms at home and take back a grow kit of your own! RSVP soon as spots are limited and this is one of our most popular events! We'd love to see you there :),The Shroom Society at , Stuff,"Club Meetings, Clubs and Organization Information, General, Sustainability, In-Person Event, New Student Experience",Memorial Union Room 242,0
Culture Kickoff,2024-08-22 17:00:00,"Culture Kickoff is centered around exploring identity, promoting inclusion, and celebrating cultural expression. This event is to connect and foster a sense of belonging among all students. Come meet the culturally based student coalitions along with the Cultural Connections staff that are here to support and advocate diversity and inclusion among students, staff, and the community of ASU.  Immerse yourself through performances, music, sweet treats, and culturally relevant conversations at Culture Kickoff at 5:00 p.m. outside of the Memorial Union & Student Pavilion!",Culture@, Food   Stuff,Culture @ ASU,"Memorial Union Mall 301 East Orange Street , Tempe, ",0
DAY At The Student Center,2024-08-24 15:00:00,"Students will be able to experience and learn about PAB while socializing with other students who live on campus! They will be able to play mini golf, video games, ping pong, clear bag decorating/stuffing, and drink soda floats!",Programming and Activities Board - Downtown Phoenix, Food   Stuff,"Club Meetings, Clubs and Organization Information, General, PAB Event, Welcome Event, In-Person Event, New Student Experience","Student Center522 N Central Ave, Phoenix, ",1
DVSF Volleyball Night,2024-08-23 19:00:00,"This is a social event for members, friends, and other ASU students. We will have a volleyball net set up on the lawn and other lawn games for students to jump into. At our tent, we want to have ice water, lemonade or snow cones, and possible chips and salsa as refreshments. We will have two blue tooth speakers playing background music.",Desert Valley Student Fellowship, Food,"Clubs and Organization Information, Welcome Event, In-Person Event",Online,0
Date Party,2024-09-28 17:30:00,Date party for the Kappa Delta's,Kappa Delta,,,"Monarch Theater 122 E Washington St, Phoenix,  85004",1
Day at the State Fair!,2024-10-15 17:00:00,"Arizona State Fair Trip Join the Egyptian Student Association for an exciting trip to the Arizona State Fair! We have space for 10 people, so make sure to RSVP as soon as possible to secure your spot. We'll be carpooling to the fair, so there's no need to worry about finding a ride. Enjoy a day full of fun, games, delicious food, and great company. Don't miss out on this fantastic opportunity to experience the Arizona State Fair with your fellow students. See you there!",Egyptian Student Association, Stuff,," State Fair Grounds1826 W McDowell Rd, Phoenix,  85007, United States",0
Degrees,2024-09-03 19:00:00,Having the new pc learn about Kappa Delta.,Kappa Delta,,,glccglcc,0
Diablo's Club Zero: Get Connected Kick-off event,2024-08-18 19:00:00,"Join us for Diablo's Club Zero on August 18th from 7 pm to 10 pm, the exciting kickoff to ASU's Welcome Week! This event offers new students, who’ve just moved in, a chance to relax and have fun with cool activations, refreshing treats, and an array of vendors. Meet and mingle with student organizations that will be featured throughout the week, and get all the details on upcoming Welcome Week events. Come chill out and blaze into campus life with us!",Unknown, Food   Stuff,"Clubs and Organization Information, General, Student Engagement Event, Welcome Event, In-Person Event","Student Services Lawn1151 S Forest Ave, Tempe, ,  85281",1
